Title,Company,Location,Qualifications,Url
"Senior Data Scientist ( Only for Immediately Joiner, WFH)",DXC Technology,"Bengaluru, Karnataka","['Statistical analysis', 'Azure', 'SQL', 'PyTorch', 'Spark', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/et2ielHWPR_FnRhRGLnOWEt2wEKjWSg93TS3Fr0TEKfNG4BI_NQ5SQ?q=data+scientist
Computer Vision/Data Science Engineer,Livello India Private Limited,"Hyderabad, Telangana","['Image processing', 'Predictive analytics', 'TensorFlow', 'Quality assurance', 'Computer vision', 'Doctoral degree', ""Master's degree""]",https://www.simplyhired.co.in/job/oZXh_dZX9SPrg6sB3cv0g6RLCbjKcm1BodtsQOOTvFQ4YRhP4SLyXQ?q=data+scientist
Data Manager,Growth panda,"Bengaluru, Karnataka","['Project management', 'Power BI', 'SQL', 'Tableau', 'Digital marketing', ""Bachelor's degree""]",https://www.simplyhired.co.in/job/RkoEuneaijnkZp80fL-peXiH_ayYHugbh0Rv_690FzRVa6D1IZc4Gg?q=data+scientist
Data Science,Larsen & Toubro Limited,"Chennai, Tamil Nadu","['SQL', 'R', 'Machine learning', 'Python', 'NoSQL']",https://www.simplyhired.co.in/job/BNPmNVjJl4wJo_-N3B49lapdZVBFPctCD2H9QwBejKggBirfvgKrnA?q=data+scientist
Data Scientist - All Levels,Greenizon Agritech Consultancy,"Bengaluru, Karnataka","['SQL', 'Git', 'Private equity', 'Communication skills', 'R', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/NNPDY422AllTqZyUg98vLiYs-4Teb5rSuqKSFT2uMvYAe4_sDiiP7w?q=data+scientist
Data Scientist: Advanced Analytics,IBM,"Bengaluru, Karnataka","['REST', 'Identity & access management', 'DynamoDB', 'APIs', 'Python', ""Master's degree""]",https://www.simplyhired.co.in/job/EfYyP28BQa6lZhgibXMDZ0X5LUFUDEWiUBLyS0Z3nYEvv7qGxUDbYg?q=data+scientist
Intern - Data Analytics (APAC),Waters Corporation,"Bengaluru, Karnataka","['Statistical analysis', 'Analysis skills', 'Power BI', 'SQL', 'Microsoft Excel', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/8XP08NuKHkkDmEOraZ6dvU2GzyM89btv_jqikT-I-V5lf_zbhRINYg?q=data+scientist
Data Scientist,Deloitte,"Chennai, Tamil Nadu","['Design patterns', 'Azure', 'SQL', 'PyTorch', 'Software troubleshooting', ""Bachelor's degree"", 'M.B.A.', ""Master's degree""]",https://www.simplyhired.co.in/job/Si4NFKGVDKO9DmzuJwJmhZ-YY8xoMu5HdywD2xkhBdJ0_f7q86TQag?q=data+scientist
Freelance Data Scientist Trainer,Success Arrow,"Pune, Maharashtra","['SQL', 'Tableau', 'Communication skills', 'Python', 'Data science']",https://www.simplyhired.co.in/job/kA_q_WJRr7pUxgpwKJvCgL7oe3oi_cjjVGP29a7rGHj6G06LNNlr9w?q=data+scientist
Data Scientist,Zscaler,"Bengaluru, Karnataka","['Operating systems', 'Azure', 'SQL', 'Deep learning', 'Go', 'Doctoral degree']",https://www.simplyhired.co.in/job/eJGWKAiqEm1BzLW597Ud1Ym9Q__UQKuM-jxhpuB8fmSF4OHvxXyH_Q?q=data+scientist
NLP data scientist,Mindwise Solutions Private Limited,"Chennai, Tamil Nadu","['Elasticsearch', 'Machine learning', 'Python', 'Pandas', 'Solr']",https://www.simplyhired.co.in/job/Y-CcdeHLX5HlCneyGFu5nAHRmqe1445uhBbpF0DmY5G8GjHTmSvUMw?q=data+scientist
Chemical Engineer - Data Science,DigiTwin Technology Pvt Ltd,"Chennai, Tamil Nadu","['Communication skills', 'Python', 'Chemical engineering', 'Data science', 'B.Sc', ""Bachelor's degree"", ""Master's degree""]",https://www.simplyhired.co.in/job/yhmpReQ1uEZBplu7lHUKlx-M0Ec1J5soGeadVxKfUrYI9T4xI9-9eA?q=data+scientist
