,Company,Qualifications,Url,City,State,Title 1,Title 2
1013,capgemini invent,"big data, tableau, data structures, data science",https://www.simplyhired.co.in/job/nmINyBymElCNDsCxsCPJ99BnRQokjKDGtX851GASEKPE2AGDt0i_AQ?q=data+scientist,nagasandra (bangalore),karnataka,data scientist,none
1014,google,"data center experience, systemverilog, machine learning, verilog, bachelors degree, masters degree, doctoral degree, b.s.e.e.",https://www.simplyhired.co.in/job/JJiNNbl7VkiPTy9w3Dyi57ZiY63yObDelQPKk0KH1tTOLlFAdZoC3g?q=data+scientist,pune,maharashtra,ai functional tester,none
1015,exemplar global resources pvt. ltd.,"power bi, azure, big data, tableau, aws",https://www.simplyhired.co.in/job/KpEvcKi10VLmxnEt3N46lpX0XYOjEr04LlQaCFMWfVmH-CkAUQCTyQ?q=data+scientist,bengaluru,karnataka,head of the department – (computer science engineering – data science),none
1016,amnex infotechnologies,"project management, analysis skills, data modeling, sql, microsoft excel",https://www.simplyhired.co.in/job/Py6LCkdLEmwZyI0xrPHOikzX2tRpCTKIQmvWgQcsllb53deGVhoFeg?q=data+scientist,mohali,punjab,python and data science developer,none
1017,inmobi,"analysis skills, leadership, communication skills, machine learning, enterprise software, bachelors degree, masters degree",https://www.simplyhired.co.in/job/SIe93Y5lK_GYRfafAyyaMKwmEA7roKfxjfW5O1hgEKB-oNowi2hVJA?q=data+scientist,none,none,data scientist,none
1018,eightfold.ai,"tensorflow, c++, scala, apis, hadoop, b.sc, bachelors degree, doctoral degree, masters degree",https://www.simplyhired.co.in/job/tvMd_2YrcOGZ4ulzSCAmMvvuNuEnJXBdkxvwgJIicVnnP6xn1Hpr0Q?q=data+scientist,indore,madhya pradesh,data scientist & ai trainer,none
1019,code tree software solutions,"r, machine learning, python, statistics, ai",https://www.simplyhired.co.in/job/fCf94h1UkAk7WBCE13IGBeZJDcp3Lt2W1ogYKad7EqkSerY8bQxasg?q=data+scientist,bengaluru,karnataka,ai architect,none
1020,lytx,"analysis skills, image processing, dynamodb, sql, system architecture, bachelors degree, masters degree",https://www.simplyhired.co.in/job/EsF3419cf8j0O_Xu-bKeQ59jMQWofRgl5KI5oNgGmQc4GfbLCPo98A?q=data+scientist,mumbai,maharashtra,artificial intelligence and machine learning developers,none
1021,sapper software,"tensorflow, software deployment, image processing, rest, flask",https://www.simplyhired.co.in/job/_SemyKM01-Au571TLIDB7Yi50sfYdF1cNGuU_UPkviv-yKib5rVyTQ?q=data+scientist,coimbatore,tamil nadu,ai / big data analyst (powertrain applications),cob
1022,exeliq consulting,"image processing, computer vision",https://www.simplyhired.co.in/job/lLZJ0erBDly6xqgimDTTgs9Z5dzsZNQ5jUes8Pd5AdTT7PXDyobZUw?q=data+scientist,none,none,engineering leader,machine learning
1023,genietalk pvt ltd,"react, css, flask, azure, redis",https://www.simplyhired.co.in/job/KIjcWk93U8nQHM90B_-sbtKWSeJXhd1zS7H0NSCFP9bZDWHbf-xTVg?q=data+scientist,bengaluru,karnataka,quantitative ux researcher,none
1024,miq digital,"sql, r, machine learning, python, big data, bachelors degree, masters degree",https://www.simplyhired.co.in/job/B0bt2qmFulIpNcMjKdCoH6cYOAcnXP4MKifZriVztfCCEUcINCXpAA?q=data+scientist,ahmadabad,gujarat,sr. data scientist,none
1025,biocube,"image processing, data science, ai, b.sc, bachelors degree, masters degree, doctoral degree",https://www.simplyhired.co.in/job/HNWKoBotfDxNhE7jwuO_JuSL99JpFQ_vq7f9cx4LGkWAPb1Ri1n2UQ?q=data+scientist,bengaluru,karnataka,data scientist,none
1026,accenture,"software deployment, analysis skills, azure, sdks, communication skills, doctoral degree, bachelors degree, masters degree",https://www.simplyhired.co.in/job/42ZAWGp0_4pGl_6_wkOkh7-B4kQFyf7YmmWLyFL8UdEsfgu4wmy8tw?q=data+scientist,chennai,tamil nadu,ai/ml engineering lead,none
1027,codersarts,"image processing, sql, database design, deep learning, tensorflow",https://www.simplyhired.co.in/job/AOlgOqR87ohtC4YNR0aaBqQm2ULi-BNR1tXI4847XBRHv6Mf78LmcQ?q=data+scientist,navi mumbai,maharashtra,freelance- cs- data science,none
